brongemeente;SLA-sector;concentratie (µg/m³);relatieve bijdrage (%);doelgemeente;scenario;stof;datum export;applicatie versie;data versie
Papendrecht;Industrie & energie;0;0,11;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Beverwijk;Industrie & energie;0;0,11;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Bodegraven-Reeuwijk;Consumenten sfeerverwarming;0;0,11;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
De Ronde Venen;Consumenten;0;0,11;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Den Haag;Consumenten sfeerverwarming;0;0,11;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Montfoort;Industrie & energie;0;0,1;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Stichtse Vecht;Wegverkeer;0;0,1;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Nunspeet;Industrie & energie;0;0,1;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Hillegom;HDO & Bouw;0;0,1;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Gouda;Consumenten;0;0,1;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Zuidplas;Consumenten sfeerverwarming;0;0,1;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Hilversum;Consumenten;0;0,1;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Bodegraven-Reeuwijk;Wegverkeer;0;0,1;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Lansingerland;Consumenten sfeerverwarming;0;0,1;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Bloemendaal;Consumenten;0;0,1;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Stichtse Vecht;Binnenvaart & recreatievaart;0;0,1;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Molenlanden;Consumenten sfeerverwarming;0;0,09;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Moerdijk;Industrie & energie;0;0,09;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Nieuwkoop;Landbouw;0;0,09;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Leiderdorp;Wegverkeer;0;0,09;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Amersfoort;Consumenten;0;0,09;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Den Haag;Industrie & energie;0;0,09;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Utrecht;Consumenten sfeerverwarming;0;0,09;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Uithoorn;Consumenten;0;0,09;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Ede;Industrie & energie;0;0,09;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
