brongemeente;SLA-sector;concentratie (µg/m³);relatieve bijdrage (%);doelgemeente;scenario;stof;datum export;applicatie versie;data versie
Bodegraven-Reeuwijk;Consumenten;0;0,06;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Woerden;Consumenten;0;0,06;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Bunschoten;Industrie & energie;0;0,06;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Zandvoort;Consumenten sfeerverwarming;0;0,06;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Noordwijk;HDO & Bouw;0;0,06;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Zuidplas;Wegverkeer;0;0,06;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Leiden;Mobiele werktuigen bouw (SEB);0;0,06;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Waddinxveen;Consumenten sfeerverwarming;0;0,06;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Zoeterwoude;Industrie & energie;0;0,06;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Goeree-Overflakkee;Consumenten sfeerverwarming;0;0,06;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Bloemendaal;Wegverkeer;0;0,06;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Leiderdorp;Consumenten;0;0,06;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Hoeksche Waard;Binnenvaart & recreatievaart;0;0,06;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Almere;HDO & Bouw;0;0,06;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Utrechtse Heuvelrug;Consumenten sfeerverwarming;0;0,06;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Nieuwkoop;Wegverkeer;0;0,06;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Nieuwegein;Consumenten;0;0,06;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Zoeterwoude;Mobiele werktuigen bouw (SEB);0;0,06;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Alphen aan den Rijn;Binnenvaart & recreatievaart;0;0,06;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Rijswijk;Consumenten;0;0,06;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Gooise Meren;Consumenten;0;0,06;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Noordwijk;Mobiele werktuigen bouw (SEB);0;0,06;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Medemblik;Consumenten sfeerverwarming;0;0,06;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Dordrecht;Consumenten;0;0,05;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Tilburg;Industrie & energie;0;0,05;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Waterland;Consumenten sfeerverwarming;0;0,05;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Roosendaal;Industrie & energie;0;0,05;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Zoetermeer;Industrie & energie;0;0,05;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Lelystad;Consumenten sfeerverwarming;0;0,05;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Leiderdorp;Industrie & energie;0;0,05;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Alphen aan den Rijn;Mobiele werktuigen bouw (SEB);0;0,05;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Zaanstad;Binnenvaart & recreatievaart;0;0,05;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Zuidplas;Consumenten;0;0,05;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Uithoorn;HDO & Bouw;0;0,05;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Haarlem;Mobiele werktuigen bouw (SEB);0;0,05;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Breda;Consumenten sfeerverwarming;0;0,05;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
De Bilt;Consumenten sfeerverwarming;0;0,05;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Amersfoort;Consumenten sfeerverwarming;0;0,05;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Soest;Industrie & energie;0;0,05;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Schiedam;Consumenten;0;0,05;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Krimpenerwaard;Consumenten;0;0,05;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Kaag en Braassem;Mobiele werktuigen bouw (SEB);0;0,05;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Lisse;Industrie & energie;0;0,05;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Gouda;Industrie & energie;0;0,05;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Hollands Kroon;Consumenten sfeerverwarming;0;0,05;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Bergen (NH.);Consumenten sfeerverwarming;0;0,05;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Apeldoorn;Consumenten sfeerverwarming;0;0,05;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Dordrecht;Industrie & energie;0;0,05;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Nissewaard;Consumenten sfeerverwarming;0;0,05;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Oostzaan;Wegverkeer;0;0,05;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Ede;Consumenten sfeerverwarming;0;0,05;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Lansingerland;Wegverkeer;0;0,05;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Waddinxveen;Wegverkeer;0;0,05;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Vijfheerenlanden;Industrie & energie;0;0,05;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
De Ronde Venen;Landbouw;0;0,05;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Nieuwkoop;HDO & Bouw;0;0,05;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Vlaardingen;Consumenten;0;0,05;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Edam-Volendam;Consumenten sfeerverwarming;0;0,05;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Katwijk;HDO & Bouw;0;0,05;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Haarlem;Binnenvaart & recreatievaart;0;0,05;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Ouder-Amstel;Consumenten;0;0,05;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Uithoorn;Wegverkeer;0;0,05;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Westland;Industrie & energie;0;0,05;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
De Ronde Venen;HDO & Bouw;0;0,05;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Schagen;Consumenten sfeerverwarming;0;0,04;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
De Ronde Venen;Binnenvaart & recreatievaart;0;0,04;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Aalsmeer;Binnenvaart & recreatievaart;0;0,04;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Dordrecht;Binnenvaart & recreatievaart;0;0,04;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Utrecht;Binnenvaart & recreatievaart;0;0,04;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Oostzaan;Consumenten sfeerverwarming;0;0,04;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Hilversum;Consumenten sfeerverwarming;0;0,04;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Teylingen;Industrie & energie;0;0,04;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Tilburg;Consumenten;0;0,04;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Zandvoort;Consumenten;0;0,04;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Barneveld;Industrie & energie;0;0,04;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Lelystad;Consumenten;0;0,04;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Heemskerk;Consumenten;0;0,04;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Alphen aan den Rijn;Mobiele werktuigen;0;0,04;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Leiderdorp;Consumenten sfeerverwarming;0;0,04;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Barneveld;Consumenten sfeerverwarming;0;0,04;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Amstelveen;Mobiele werktuigen bouw (SEB);0;0,04;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Nissewaard;Consumenten;0;0,04;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Aalsmeer;Mobiele werktuigen bouw (SEB);0;0,04;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Almelo;Industrie & energie;0;0,04;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Den Bosch;Industrie & energie;0;0,04;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Oegstgeest;Wegverkeer;0;0,04;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Rotterdam;Mobiele werktuigen bouw (SEB);0;0,04;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Vijfheerenlanden;Wegverkeer;0;0,04;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Tilburg;Consumenten sfeerverwarming;0;0,04;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Zoeterwoude;Consumenten sfeerverwarming;0;0,04;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Dijk en Waard;Consumenten;0;0,04;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Wormerland;Consumenten sfeerverwarming;0;0,04;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Breda;Consumenten;0;0,04;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Waddinxveen;Consumenten;0;0,04;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Zeewolde;Landbouw;0;0,04;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Zoeterwoude;Wegverkeer;0;0,04;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Nijkerk;Consumenten sfeerverwarming;0;0,04;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Den Bosch;Consumenten sfeerverwarming;0;0,04;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Moerdijk;Consumenten sfeerverwarming;0;0,04;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Leidschendam-Voorburg;Consumenten sfeerverwarming;0;0,04;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Nieuwkoop;Mobiele werktuigen bouw (SEB);0;0,04;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Wassenaar;Consumenten;0;0,04;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Den Haag;Mobiele werktuigen;0;0,04;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Koggenland;Consumenten sfeerverwarming;0;0,04;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
West Betuwe;Wegverkeer;0;0,04;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Dijk en Waard;Industrie & energie;0;0,04;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Hoeksche Waard;Consumenten;0;0,04;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Dordrecht;Consumenten sfeerverwarming;0;0,04;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Zeist;Consumenten sfeerverwarming;0;0,04;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Zaanstad;Mobiele werktuigen bouw (SEB);0;0,04;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Barendrecht;Consumenten;0;0,04;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Purmerend;Wegverkeer;0;0,04;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Schouwen-Duiveland;Consumenten sfeerverwarming;0;0,04;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Heemskerk;Consumenten sfeerverwarming;0;0,04;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Alkmaar;Industrie & energie;0;0,04;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Delft;Wegverkeer;0;0,04;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Rijswijk;Wegverkeer;0;0,04;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Oss;Consumenten sfeerverwarming;0;0,04;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Beverwijk;Wegverkeer;0;0,04;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Soest;Consumenten sfeerverwarming;0;0,04;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Hoeksche Waard;Industrie & energie;0;0,04;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Montfoort;Consumenten sfeerverwarming;0;0,04;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Huizen;Consumenten;0;0,04;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Heiloo;Consumenten sfeerverwarming;0;0,04;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Den Haag;Mobiele werktuigen bouw (SEB);0;0,04;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Gouda;Consumenten sfeerverwarming;0;0,04;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Kaag en Braassem;Mobiele werktuigen;0;0,04;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Amstelveen;Mobiele werktuigen;0;0,04;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Stichtse Vecht;Landbouw;0;0,04;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Delft;HDO & Bouw;0;0,04;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Landsmeer;Consumenten sfeerverwarming;0;0,04;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Beverwijk;Consumenten sfeerverwarming;0;0,04;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Dronten;Landbouw;0;0,04;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Lopik;Consumenten sfeerverwarming;0;0,04;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Amersfoort;Wegverkeer;0;0,03;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Buren;Consumenten sfeerverwarming;0;0,03;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Hoeksche Waard;Wegverkeer;0;0,03;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Albrandswaard;Consumenten sfeerverwarming;0;0,03;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Zeist;Consumenten;0;0,03;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Nijkerk;Industrie & energie;0;0,03;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Breda;Industrie & energie;0;0,03;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Tiel;Industrie & energie;0;0,03;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Hoorn;Industrie & energie;0;0,03;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Ridderkerk;Wegverkeer;0;0,03;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Krimpenerwaard;Binnenvaart & recreatievaart;0;0,03;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Drechterland;Consumenten sfeerverwarming;0;0,03;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Katwijk;Wegverkeer;0;0,03;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Dronten;Consumenten sfeerverwarming;0;0,03;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Hoorn;Consumenten;0;0,03;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Nieuwkoop;Binnenvaart & recreatievaart;0;0,03;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Hilversum;HDO & Bouw;0;0,03;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Zeewolde;Industrie & energie;0;0,03;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Dordrecht;Wegverkeer;0;0,03;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Bodegraven-Reeuwijk;Industrie & energie;0;0,03;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Zaltbommel;Consumenten sfeerverwarming;0;0,03;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Pijnacker-Nootdorp;Wegverkeer;0;0,03;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Teylingen;Binnenvaart & recreatievaart;0;0,03;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Lochem;Industrie & energie;0;0,03;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Almere;Industrie & energie;0;0,03;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Molenlanden;Binnenvaart & recreatievaart;0;0,03;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Gouda;HDO & Bouw;0;0,03;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Purmerend;HDO & Bouw;0;0,03;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Hilversum;Industrie & energie;0;0,03;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Diemen;HDO & Bouw;0;0,03;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Meierijstad;Industrie & energie;0;0,03;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Breda;Wegverkeer;0;0,03;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Putten;Consumenten sfeerverwarming;0;0,03;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Blaricum;Consumenten sfeerverwarming;0;0,03;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Lansingerland;HDO & Bouw;0;0,03;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Drimmelen;Consumenten sfeerverwarming;0;0,03;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Geertruidenberg;Industrie & energie;0;0,03;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Súdwest-Fryslân;Consumenten sfeerverwarming;0;0,03;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Ridderkerk;Consumenten;0;0,03;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Lansingerland;Industrie & energie;0;0,03;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Westland;Wegverkeer;0;0,03;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Castricum;Consumenten;0;0,03;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Beverwijk;HDO & Bouw;0;0,03;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Voorne aan Zee;Consumenten;0;0,03;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Lelystad;Wegverkeer;0;0,03;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Altena;Binnenvaart & recreatievaart;0;0,03;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Waalwijk;Consumenten sfeerverwarming;0;0,03;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Edam-Volendam;Consumenten;0;0,03;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Heemstede;Binnenvaart & recreatievaart;0;0,03;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Alkmaar;Wegverkeer;0;0,03;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Voorschoten;Consumenten;0;0,03;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
De Bilt;Consumenten;0;0,03;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Uitgeest;Consumenten sfeerverwarming;0;0,03;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Lisse;Landbouw;0;0,03;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Houten;Consumenten sfeerverwarming;0;0,03;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Woerden;Landbouw;0;0,03;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Halderberge;Consumenten sfeerverwarming;0;0,03;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Molenlanden;Consumenten;0;0,03;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Stichtse Vecht;HDO & Bouw;0;0,03;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Den Bosch;Consumenten;0;0,03;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Oegstgeest;HDO & Bouw;0;0,03;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Rotterdam;Luchtvaart & rail;0;0,03;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
De Bilt;Wegverkeer;0;0,03;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Apeldoorn;Consumenten;0;0,03;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Moerdijk;Binnenvaart & recreatievaart;0;0,03;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Leidschendam-Voorburg;HDO & Bouw;0;0,03;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Vijfheerenlanden;Consumenten;0;0,03;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Roosendaal;Consumenten sfeerverwarming;0;0,03;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Voorschoten;Consumenten sfeerverwarming;0;0,03;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Maasdriel;Consumenten sfeerverwarming;0;0,03;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
Ouder-Amstel;HDO & Bouw;0;0,03;Haarlemmermeer;concentratie 2024;PFS10;2026-06-02;'3.1.12';20260520_1440
